id,scrape_id,last_scraped,name,host_id,street,city,latitude,longitude,is_location_exact
4296181,2.02E+13,7/12/2018,4 beds 2 baths Parking & Wifi,16846456,"Maidstone, VIC, Australia",Maidstone,-37.78345496,144.8693712,t
4297380,2.02E+13,7/12/2018,Bright private room close to everything!,6361794,"St Kilda, VIC, Australia",St Kilda,-37.86164435,144.9903136,t
4297942,2.02E+13,7/12/2018,Warehouse loft Fitzroy/Collingwood,2426900,"Collingwood, VIC, Australia",Collingwood,-37.80221774,144.9853199,t
4299424,2.02E+13,7/12/2018,Spacious bedroom near the gardens,12249449,"South Yarra, VIC, Australia",South Yarra,-37.83523131,144.9786363,t
4312547,2.02E+13,7/12/2018,Leafy 3rd floor St Kilda apartment,14605939,"St Kilda East, VIC, Australia",St Kilda East,-37.8629888,145.007345,t
4317696,2.02E+13,7/12/2018,Central & Quiet - Cosy Apartment Central Melbourne,7373012,"Melbourne, VIC, Australia",Melbourne,-37.81802676,144.9638605,t
4318008,2.02E+13,7/12/2018,Perfect location in Albert Park,5947685,"Albert Park, VIC, Australia",Albert Park,-37.84366326,144.9593188,t
4318856,2.02E+13,7/12/2018,1BR apt Brunswick On Your Doorstep,19945667,"Brunswick, VIC, Australia",Brunswick,-37.77896314,144.9678981,t
4319341,2.02E+13,7/12/2018,Sleepy Wombat Cottage,13672521,"Warburton, VIC, Australia",Warburton,-37.75808938,145.6885249,t
4319549,2.02E+13,7/12/2018,Kensington apartment with carpark,22270435,"Kensington, VIC, Australia",Kensington,-37.79509835,144.9274901,t
4319611,2.02E+13,7/12/2018,Quietest lovely home in St.Kilda (FREE package),9584342,"St Kilda, VIC, Australia",St Kilda,-37.86100863,144.9791138,t
4319874,2.02E+13,7/12/2018,2 BR CBD APT across MELB CENTRAL,22428563,"Melbourne, VIC, Australia",Melbourne,-37.80981315,144.9643031,t
4324807,2.02E+13,7/12/2018,Melbourne Albert Lake view room,22456519,"Melbourne, VIC, Australia",Melbourne,-37.85135809,144.9816636,t
4325881,2.02E+13,7/12/2018,Comfy + Cute Beach Apartment,19503762,"Elwood, VIC, Australia",Elwood,-37.88671752,144.9869594,t
4326699,2.02E+13,7/12/2018,Richmond Centre Exec 3BR Townhouse+GARAGE+WIFI+AC,50121,"Richmond, VIC, Australia",Richmond,-37.81634161,144.9966482,f
4327686,2.02E+13,7/12/2018,Treetops Guesthouse at Lochiel,22136034,"Olinda, VIC, Australia",Olinda,-37.85400881,145.3647374,t
4342764,2.02E+13,7/12/2018,2 bedroom Townhouse with yard CITY LOCATION,6902963,"North Melbourne, VIC, Australia",North Melbourne,-37.80493998,144.9572059,f
4343563,2.02E+13,7/12/2018,Tranquility in Prahran,8699971,"Prahran, VIC, Australia",Prahran,-37.85595588,145.0068946,t
4345856,2.02E+13,7/12/2018,Large Queen room w/ private bathroom,22560521,"Kew, VIC, Australia",Kew,-37.8035821,145.0384507,t
4360190,2.02E+13,7/12/2018,"Lovely, light-filled family home",22424800,"Melbourne, VIC, Australia",Melbourne,-37.85995834,144.8942134,f
4366691,2.02E+13,7/12/2018,4-5 Bedroom Renovated Elwood Home,22667952,"Elwood, VIC, Australia",Elwood,-37.87747504,144.9920247,t
4371142,2.02E+13,7/12/2018,Yarra Valley- Ideal Family or Group Location,22692413,"Chum Creek, VIC, Australia",Chum Creek,-37.62827019,145.5025243,t
4371442,2.02E+13,7/12/2018,Cosy 2bdr City Gem ,19671002,"Melbourne, VIC, Australia",Melbourne,-37.80988019,144.9659575,t
4372398,2.02E+13,7/12/2018,Stylish 1B Beachside Apartment in St Kilda,22700287,"St Kilda, VIC, Australia",St Kilda,-37.86560085,144.9764564,t
4372405,2.02E+13,7/12/2018,Prestige apartment with stunning views,22700331,"Melbourne, VIC, Australia",Melbourne,-37.85382458,144.9813418,t
4372668,2.02E+13,7/12/2018,"10km to City,Close to St.Kilda",22701849,"Malvern, VIC, Australia",Malvern,-37.86543649,145.039083,t
4373902,2.02E+13,7/12/2018,Beautiful Bright Brunswick Room,4888408,"Brunswick East, VIC, Australia",Brunswick East,-37.77254552,144.9704141,f
4378693,2.02E+13,7/12/2018,A charming Victorian Pavilion -Brighton/Elwood,22734692,"Brighton, VIC, Australia",Brighton,-37.8988744,144.9921331,t
4379177,2.02E+13,7/12/2018,BAYSIDE/POOL/ENSUITE/KITCHEN,22737513,"Brighton East, VIC, Australia",Brighton East,-37.92104152,145.0160468,t
