,STOP_NAME,LATITUDE,LONGITUDE
104,South Yarra Railway Station (South Yarra),-37.838449,144.992342
105,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
106,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
107,Windsor Railway Station (Windsor),-37.856053,144.992035
108,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
109,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
110,Balaclava Railway Station (Balaclava),-37.869488,144.993512
111,Burnley Railway Station (Burnley),-37.82756,145.007555
112,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
113,Windsor Railway Station (Windsor),-37.856053,144.992035
114,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
115,Windsor Railway Station (Windsor),-37.856053,144.992035
116,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
117,Richmond Railway Station (Richmond),-37.824074,144.990164
118,Fairfield Railway Station (Fairfield),-37.779171,145.016905
119,Windsor Railway Station (Windsor),-37.856053,144.992035
120,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
121,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
122,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
123,Parliament Railway Station (Melbourne City),-37.811054,144.972911
124,Parliament Railway Station (Melbourne City),-37.811054,144.972911
125,Windsor Railway Station (Windsor),-37.856053,144.992035
126,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
127,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
128,Balaclava Railway Station (Balaclava),-37.869488,144.993512
129,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
130,Malvern Railway Station (Malvern),-37.866253,145.029294
131,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
132,Windsor Railway Station (Windsor),-37.856053,144.992035
133,Windsor Railway Station (Windsor),-37.856053,144.992035
134,Jolimont-MCG Railway Station (East Melbourne),-37.816527,144.984098
135,Parliament Railway Station (Melbourne City),-37.811054,144.972911
136,Croxton Railway Station (Northcote),-37.764101,144.997056
137,Rushall Railway Station (Fitzroy North),-37.783217,144.992407
138,South Yarra Railway Station (South Yarra),-37.838449,144.992342
139,Glenferrie Railway Station (Hawthorn),-37.821467,145.036439
140,Parliament Railway Station (Melbourne City),-37.811054,144.972911
141,Hawksburn Railway Station (South Yarra),-37.844591,145.002142
142,West Richmond Railway Station (Richmond),-37.814949,144.991423
143,Balaclava Railway Station (Balaclava),-37.869488,144.993512
144,Balaclava Railway Station (Balaclava),-37.869488,144.993512
145,Darebin Railway Station (Ivanhoe),-37.774963,145.038476
146,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
147,Parliament Railway Station (Melbourne City),-37.811054,144.972911
148,Parliament Railway Station (Melbourne City),-37.811054,144.972911
149,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
150,Burwood Railway Station (Glen Iris),-37.851563,145.080511
151,Burwood Railway Station (Glen Iris),-37.851563,145.080511
152,Toorak Railway Station (Armadale),-37.850774,145.013909
153,Balaclava Railway Station (Balaclava),-37.869488,144.993512
154,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
155,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
156,Parliament Railway Station (Melbourne City),-37.811054,144.972911
157,West Richmond Railway Station (Richmond),-37.814949,144.991423
158,Burnley Railway Station (Burnley),-37.82756,145.007555
159,Balaclava Railway Station (Balaclava),-37.869488,144.993512
160,Windsor Railway Station (Windsor),-37.856053,144.992035
161,Dennis Railway Station (Northcote),-37.779187,145.008242
162,Balaclava Railway Station (Balaclava),-37.869488,144.993512
163,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
164,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898
165,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323
166,Gardenvale Railway Station (Brighton),-37.896695,145.004168
167,Balaclava Railway Station (Balaclava),-37.869488,144.993512
168,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
169,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
170,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
171,Prahran Railway Station (Prahran),-37.849518,144.98986
172,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
173,Richmond Railway Station (Richmond),-37.824074,144.990164
174,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
175,Yarraville Railway Station (Yarraville),-37.81585,144.889934
176,Seddon Railway Station (Seddon),-37.809005,144.895672
177,Gardenvale Railway Station (Brighton),-37.896695,145.004168
178,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
179,Windsor Railway Station (Windsor),-37.856053,144.992035
180,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
181,Windsor Railway Station (Windsor),-37.856053,144.992035
182,Northcote Railway Station (Northcote),-37.769865,144.995277
183,Parliament Railway Station (Melbourne City),-37.811054,144.972911
184,Anstey Railway Station (Brunswick),-37.761242,144.960684
185,Malvern Railway Station (Malvern),-37.866253,145.029294
186,Malvern Railway Station (Malvern),-37.866253,145.029294
187,Rushall Railway Station (Fitzroy North),-37.783217,144.992407
188,South Yarra Railway Station (South Yarra),-37.838449,144.992342
189,Rosanna Railway Station (Rosanna),-37.742879,145.06614
190,Balaclava Railway Station (Balaclava),-37.869488,144.993512
191,South Yarra Railway Station (South Yarra),-37.838449,144.992342
192,Parliament Railway Station (Melbourne City),-37.811054,144.972911
193,Prahran Railway Station (Prahran),-37.849518,144.98986
194,Balaclava Railway Station (Balaclava),-37.869488,144.993512
195,Parliament Railway Station (Melbourne City),-37.811054,144.972911
196,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
197,Toorak Railway Station (Armadale),-37.850774,145.013909
198,Elsternwick Railway Station (Elsternwick),-37.884753,145.000898
199,Balaclava Railway Station (Balaclava),-37.869488,144.993512
200,Parliament Railway Station (Melbourne City),-37.811054,144.972911
201,Parliament Railway Station (Melbourne City),-37.811054,144.972911
202,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
203,Parliament Railway Station (Melbourne City),-37.811054,144.972911
204,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451
205,Batman Railway Station (Coburg North),-37.733523,144.962841
206,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
207,Jewell Railway Station (Brunswick),-37.774987,144.958717
208,South Yarra Railway Station (South Yarra),-37.838449,144.992342
209,Balaclava Railway Station (Balaclava),-37.869488,144.993512
210,Parliament Railway Station (Melbourne City),-37.811054,144.972911
211,South Yarra Railway Station (South Yarra),-37.838449,144.992342
212,Windsor Railway Station (Windsor),-37.856053,144.992035
213,Clifton Hill Railway Station (Clifton Hill),-37.788657,144.995417
214,Rushall Railway Station (Fitzroy North),-37.783217,144.992407
215,Collingwood Railway Station (Abbotsford),-37.804526,144.99375
216,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594
217,Flemington Bridge Railway Station (North Melbourne),-37.78814,144.939323
218,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
219,Balaclava Railway Station (Balaclava),-37.869488,144.993512
220,North Richmond Railway Station (Richmond),-37.810398,144.9925
221,Balaclava Railway Station (Balaclava),-37.869488,144.993512
222,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237
223,Windsor Railway Station (Windsor),-37.856053,144.992035
224,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
225,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964
226,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
227,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411
