,id,latitude,longitude,STOP_NAME,LATITUDE,LONGITUDE,station_distance
62,479736,-37.86946798,144.9964316,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.3
63,488819,-37.80306275,144.9767032,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.9
64,491993,-37.89715719,145.0305023,Ormond Railway Station (Ormond),-37.903212,145.039613,1.0
65,492012,-37.84102771,144.9379134,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,2.8
66,519819,-37.81456086,144.97400269999997,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.4
67,524247,-37.87652049,144.9839825,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,1.0
68,529300,-37.86309655,144.9839189,Windsor Railway Station (Windsor),-37.856053,144.992035,1.1
69,529321,-37.8595681,144.9891792,Windsor Railway Station (Windsor),-37.856053,144.992035,0.5
70,542188,-37.87211941,144.9831294,Balaclava Railway Station (Balaclava),-37.869488,144.993512,1.0
71,552797,-37.80453202,144.9779256,Parliament Railway Station (Melbourne City),-37.811054,144.972911,0.8
72,556080,-37.80515791,144.9823125,Collingwood Railway Station (Abbotsford),-37.804526,144.99375,1.0
73,557900,-37.8175183,144.9652275,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.2
74,564734,-37.88231634,144.9847267,Ripponlea Railway Station (Ripponlea),-37.875906,144.995237,1.2
75,592162,-37.81688978,144.95371540000005,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,0.2
76,614259,-37.83939535,144.9960706,South Yarra Railway Station (South Yarra),-37.838449,144.992342,0.3
77,621155,-37.82148066,144.9942865,Richmond Railway Station (Richmond),-37.824074,144.990164,0.5
78,624205,-37.82329968,144.9630325,Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,0.7
79,628370,-37.84188452,144.9425284,Southern Cross Railway Station (Melbourne City),-37.817936,144.951411,2.8
80,633258,-37.85513121,144.9945128,Windsor Railway Station (Windsor),-37.856053,144.992035,0.2
81,639260,-37.80173343,144.97536499999995,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1.1
82,642782,-37.85221953,144.99330859999995,Prahran Railway Station (Prahran),-37.849518,144.98986,0.4
83,644223,-37.87044205,144.98890980000004,Balaclava Railway Station (Balaclava),-37.869488,144.993512,0.4
84,657209,-37.86094212,144.9929855,Windsor Railway Station (Windsor),-37.856053,144.992035,0.6
85,661004,-37.79688588,144.9813153,Victoria Park Railway Station (Abbotsford),-37.799158,144.994451,1.2
