STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTEUSSP
44817,Coolaroo Railway Station (Coolaroo),-37.66100300,144.92605600,2,Craigieburn
45793,Lynbrook Railway Station (Lynbrook),-38.05734100,145.24927500,2,Cranbourne
45794,Cardinia Road Railway Station (Pakenham),-38.07129000,145.43779100,2,Pakenham
45795,South Morang Railway Station (South Morang),-37.64915900,145.06703200,2,Mernda
46468,Williams Landing Railway Station (Williams Landing),-37.86986500,144.74744500,2,Werribee
52095,Southland Railway Station (Cheltenham),-37.95875600,145.04912100,2,Frankston
52159,Middle Gorge Railway Station (South Morang),-37.64406100,145.09214400,2,Mernda
52160,Hawkstowe Railway Station (South Morang),-37.62299500,145.09739600,2,Mernda
52161,Mernda Railway Station (Mernda),-37.60254800,145.10088500,2,Mernda
15351,Sunbury Railway Station (Sunbury),-37.57909100,144.72731900,2,Sunbury
15353,Diggers Rest Railway Station (Diggers Rest),-37.62701700,144.71992200,2,Sunbury
19827,Stony Point Railway Station (Crib Point),-38.37423500,145.22183700,2,Stony Point
19828,Crib Point Railway Station (Crib Point),-38.36612300,145.20404300,2,Stony Point
19829,Morradoo Railway Station (Crib Point),-38.35403300,145.18960200,2,Stony Point
19830,Bittern Railway Station (Bittern),-38.33739000,145.17802700,2,Stony Point
19831,Hastings Railway Station (Hastings),-38.30565900,145.18598000,2,Stony Point
19832,Tyabb Railway Station (Tyabb),-38.25981500,145.18640100,2,Stony Point
19833,Somerville Railway Station (Somerville),-38.22534200,145.17624500,2,Stony Point
19834,Baxter Railway Station (Baxter),-38.19404300,145.16052600,2,Stony Point
19835,Glen Iris Railway Station (Glen Iris),-37.85930800,145.05822500,1,Glen Waverley
19836,Leawarra Railway Station (Frankston),-38.15203400,145.13953400,2,Stony Point
19837,Darling Railway Station (Malvern East),-37.86895700,145.06295100,"1,2",Glen Waverley
19838,East Malvern Railway Station (Malvern East),-37.87693000,145.06939300,"1,2",Glen Waverley
19839,Holmesglen Railway Station (Malvern East),-37.87440200,145.09066200,"1,2",Glen Waverley
19840,Jordanville Railway Station (Mount Waverley),-37.87360300,145.11209000,2,Glen Waverley
